"","grid_id","month","number_of_fish","average_fish_length","percent_male","percent_spawning","averge_tow_weight","percent_Resting_maturity_fish","percent_Ripe_maturity_fish","percent_Ripe...Running_maturity_fish","percent_Spent_maturity_fish","X","air_temperatures_deg_f","atmospheric_pressure_mb","visibility_m","wave_height_m","wave_period_s","wind_direction_degrees","wind_gust_m.s","wind_speed_m.s","sediement_NA_flag","temp"
"1",13,6,1,1022,0,1,2,0,1,0,0,5,54.4687161585719,1013.72892717124,2591.32107480523,1.1942866447992,7.26828534267837,200.165015394806,6.01288587061186,5.08163724772742,0,6.23499986063689
"2",13,6,1,1022,0,1,2,0,1,0,0,5,54.4687161585719,1013.72892717124,2591.32107480523,1.1942866447992,7.26828534267837,200.165015394806,6.01288587061186,5.08163724772742,0,4.77499989327043
"3",14,5,2,899,0.5,0,2,1,0,0,0,16,46.9929723802437,1015.64810907749,2528.40659106527,1.34858108622698,7.41800211275504,185.544807703035,6.43771039646415,5.41263456031317,0,4.65999989584088
"4",14,5,2,899,0.5,0,2,1,0,0,0,16,46.9929723802437,1015.64810907749,2528.40659106527,1.34858108622698,7.41800211275504,185.544807703035,6.43771039646415,5.41263456031317,0,5.12999988533556
"5",30,6,1,1142,1,0,2,1,0,0,0,65,54.4687185524111,1013.72892671793,2591.32145717534,1.19428634610311,7.26828449371758,200.16502644666,6.01288629425717,5.08163757074612,0,NA
"6",32,5,7,291.857142857143,0.428571428571429,0.714285714285714,21.79,0.142857142857143,0.142857142857143,0.571428571428571,0.142857142857143,76,46.99297812401,1015.64811148311,2528.40769187339,1.34858052346753,7.41800072738771,185.544806912372,6.43771091143357,5.41263494019691,0,NA
"7",33,4,1,86,1,0,4.25,1,0,0,0,87,40.1944488792387,1014.77901626185,2700.83327213007,1.92160254908867,7.88434013576526,198.728650209604,8.23636414269106,6.79031016054612,0,NA
"8",33,5,6,240.333333333333,0.5,0,15.06,1,0,0,0,88,46.9929803777458,1015.64811242702,2528.40812380788,1.34858030265229,7.41800018379804,185.544806602132,6.43771111349698,5.41263508925548,0,NA
"9",33,10,2,225.5,0,0,17.48,1,0,0,0,93,56.3740796781741,1015.81590116216,2718.91970198225,1.89700282189095,7.52326880707065,196.669346377769,9.02108006807267,7.39558872196463,0,NA
"10",34,5,3,240.333333333333,0.666666666666667,0,5.37,1,0,0,0,100,46.9929826268303,1015.64811336899,2528.40855485092,1.34858008229278,7.41799964133025,185.544806292533,6.43771131514337,5.41263523800642,0,NA
"11",34,6,4,1027.75,0.5,0,6.78,1,0,0,0,101,54.4687247826044,1013.72892553816,2591.32245232975,1.19428556871825,7.26828228421674,200.165055210155,6.01288739683419,5.08163841143288,0,NA
"12",49,5,9,303.444444444444,0.666666666666667,1,24.27,0,0.333333333333333,0.666666666666667,0,148,46.9929792556236,1015.64811195705,2528.40790875016,1.34858041259494,7.41800045444823,185.544806756599,6.43771101289076,5.41263501504007,0,6.7199998497963
"13",49,5,9,303.444444444444,0.666666666666667,1,24.27,0,0.333333333333333,0.666666666666667,0,148,46.9929792556236,1015.64811195705,2528.40790875016,1.34858041259494,7.41800045444823,185.544806756599,6.43771101289076,5.41263501504007,0,4.54999989829957
"14",49,6,9,317.333333333333,0.888888888888889,0.555555555555556,26.32,0,0.111111111111111,0.444444444444444,0.444444444444444,149,54.4687224551791,1013.72892597889,2591.32208056799,1.19428585912741,7.26828310962423,200.165044464921,6.01288698494236,5.0816380973759,0,6.7199998497963
"15",49,6,9,317.333333333333,0.888888888888889,0.555555555555556,26.32,0,0.111111111111111,0.444444444444444,0.444444444444444,149,54.4687224551791,1013.72892597889,2591.32208056799,1.19428585912741,7.26828310962423,200.165044464921,6.01288698494236,5.0816380973759,0,4.54999989829957
"16",49,7,10,278.9,0.9,0.6,16.083,0.4,0,0.6,0,150,62.1274331040728,1014.30016292537,2367.93495031378,1.11733145018726,7.34919061172733,194.858505230715,5.46958575381591,4.61699238818987,0,6.7199998497963
"17",49,7,10,278.9,0.9,0.6,16.083,0.4,0,0.6,0,150,62.1274331040728,1014.30016292537,2367.93495031378,1.11733145018726,7.34919061172733,194.858505230715,5.46958575381591,4.61699238818987,0,4.54999989829957
"18",50,4,1,1394,1,1,3,0,0,1,0,159,40.1944492482017,1014.7790161231,2700.83342944821,1.92160239727617,7.88433979345637,198.728653366267,8.23636431870394,6.79031028792761,0,4.35999990254641
"19",50,4,1,1394,1,1,3,0,0,1,0,159,40.1944492482017,1014.7790161231,2700.83342944821,1.92160239727617,7.88433979345637,198.728653366267,8.23636431870394,6.79031028792761,0,6.61499985214323
"20",50,6,2,225.5,0.5,0,1.78,1,0,0,0,161,54.4687240267079,1013.7289256813,2591.32233158972,1.19428566303675,7.26828255229091,200.16505172034,6.01288726306079,5.08163830943409,0,4.35999990254641
"21",50,6,2,225.5,0.5,0,1.78,1,0,0,0,161,54.4687240267079,1013.7289256813,2591.32233158972,1.19428566303675,7.26828255229091,200.16505172034,6.01288726306079,5.08163830943409,0,6.61499985214323
"22",50,7,3,668.333333333333,0.666666666666667,0.333333333333333,5.01333333333333,0.666666666666667,0.333333333333333,0,0,162,62.127433691516,1014.30016239534,2367.93517935566,1.11733124520989,7.34919011165643,194.858507743523,5.46958600821226,4.61699262319016,0,4.35999990254641
"23",50,7,3,668.333333333333,0.666666666666667,0.333333333333333,5.01333333333333,0.666666666666667,0.333333333333333,0,0,162,62.127433691516,1014.30016239534,2367.93517935566,1.11733124520989,7.34919011165643,194.858507743523,5.46958600821226,4.61699262319016,0,6.61499985214323
"24",54,4,5,1449.8,0.2,0.4,25,0.6,0.2,0.2,0,195,40.1944521440684,1014.77901503415,2700.83466418558,1.92160120575076,7.88433710678854,198.728678141861,8.23636570017006,6.79031128770224,0,6.63499985169619
"25",54,4,5,1449.8,0.2,0.4,25,0.6,0.2,0.2,0,195,40.1944521440684,1014.77901503415,2700.83466418558,1.92160120575076,7.88433710678854,198.728678141861,8.23636570017006,6.79031128770224,0,5.12999988533556
"26",54,5,3,1331.66666666667,0.333333333333333,0.666666666666667,16,0,0.333333333333333,0.333333333333333,0.333333333333333,196,46.9929905907937,1015.64811670448,2528.41008116576,1.34857930200412,7.4179977204626,185.544805196247,6.43771202916923,5.41263576473055,0,6.63499985169619
"27",54,5,3,1331.66666666667,0.333333333333333,0.666666666666667,16,0,0.333333333333333,0.333333333333333,0.333333333333333,196,46.9929905907937,1015.64811670448,2528.41008116576,1.34857930200412,7.4179977204626,185.544805196247,6.43771202916923,5.41263576473055,0,5.12999988533556
"28",54,10,1,184,0,0,1.11,1,0,0,0,201,56.3740707024158,1015.81590563782,2718.91948308313,1.89700115553564,7.52326514333938,196.669337311404,9.02108008716529,7.3955889798347,0,6.63499985169619
"29",54,10,1,184,0,0,1.11,1,0,0,0,201,56.3740707024158,1015.81590563782,2718.91948308313,1.89700115553564,7.52326514333938,196.669337311404,9.02108008716529,7.3955889798347,0,5.12999988533556
"30",54,11,45,345.044444444444,0.688888888888889,0.888888888888889,405.73,0.0444444444444444,0.266666666666667,0.622222222222222,0.0666666666666667,202,48.1990117300618,1015.56841915218,2797.82261311866,2.083780978305,7.44528879719009,210.743045329598,9.87883909669599,7.97266007704131,0,6.63499985169619
"31",54,11,45,345.044444444444,0.688888888888889,0.888888888888889,405.73,0.0444444444444444,0.266666666666667,0.622222222222222,0.0666666666666667,202,48.1990117300618,1015.56841915218,2797.82261311866,2.083780978305,7.44528879719009,210.743045329598,9.87883909669599,7.97266007704131,0,5.12999988533556
"32",54,12,39,327.564102564103,0.897435897435897,0.974358974358974,423.88,0.0256410256410256,0.128205128205128,0.846153846153846,0,203,41.9065600760553,1016.20873568242,2759.29305583118,2.2318680538844,7.55493453961567,215.399691970633,10.5360473255106,8.43509242837157,0,6.63499985169619
"33",54,12,39,327.564102564103,0.897435897435897,0.974358974358974,423.88,0.0256410256410256,0.128205128205128,0.846153846153846,0,203,41.9065600760553,1016.20873568242,2759.29305583118,2.2318680538844,7.55493453961567,215.399691970633,10.5360473255106,8.43509242837157,0,5.12999988533556
"34",55,1,1,113,1,1,0.64,0,0,1,0,204,36.9223143283959,1013.55649294586,2653.38553904923,2.78927027126695,8.20348920753887,212.222119870531,11.6629071051925,9.32121642906386,0,6.15999986231327
"35",55,1,1,113,1,1,0.64,0,0,1,0,204,36.9223143283959,1013.55649294586,2653.38553904923,2.78927027126695,8.20348920753887,212.222119870531,11.6629071051925,9.32121642906386,0,4.92999988980591
"36",55,4,1,318,0,0,2.42,0,0,0,1,207,40.1944528643291,1014.7790147633,2700.83497128978,1.92160090939424,7.88433643855981,198.728684304053,8.23636604376868,6.79031153636645,0,6.15999986231327
"37",55,4,1,318,0,0,2.42,0,0,0,1,207,40.1944528643291,1014.7790147633,2700.83497128978,1.92160090939424,7.88433643855981,198.728684304053,8.23636604376868,6.79031153636645,0,4.92999988980591
"38",55,12,1,166,1,1,0.89,0,1,0,0,215,41.9065568166663,1016.20873514246,2759.29311524592,2.23186763210427,7.55493360085227,215.399702239936,10.5360477226962,8.43509267975223,0,6.15999986231327
"39",55,12,1,166,1,1,0.89,0,1,0,0,215,41.9065568166663,1016.20873514246,2759.29311524592,2.23186763210427,7.55493360085227,215.399702239936,10.5360477226962,8.43509267975223,0,4.92999988980591
"40",56,1,1,196,0,0,1.03,1,0,0,0,216,36.9223103105505,1013.55649395133,2653.38550943491,2.78926972627401,8.20348829480169,212.222124482049,11.6629077224115,9.32121687238512,0,4.16999990679324
"41",56,1,1,196,0,0,1.03,1,0,0,0,216,36.9223103105505,1013.55649395133,2653.38550943491,2.78926972627401,8.20348829480169,212.222124482049,11.6629077224115,9.32121687238512,0,4.75999989360571
"42",56,6,1,368,1,0,3.59,1,0,0,0,221,54.4687333886284,1013.72892390848,2591.32382697774,1.19428449488436,7.26827923214175,200.165094942363,6.01288891986948,5.0816395727083,0,4.16999990679324
"43",56,6,1,368,1,0,3.59,1,0,0,0,221,54.4687333886284,1013.72892390848,2591.32382697774,1.19428449488436,7.26827923214175,200.165094942363,6.01288891986948,5.0816395727083,0,4.75999989360571
"44",69,5,7,640.857142857143,0.857142857142857,1,7.09142857142857,0,0.142857142857143,0.857142857142857,0,292,46.992989420083,1015.64811621416,2528.40985679592,1.34857941670735,7.4179980028321,185.544805357402,6.4377119242067,5.41263568730156,0,6.94499984476715
"45",69,5,7,640.857142857143,0.857142857142857,1,7.09142857142857,0,0.142857142857143,0.857142857142857,0,292,46.992989420083,1015.64811621416,2528.40985679592,1.34857941670735,7.4179980028321,185.544805357402,6.4377119242067,5.41263568730156,0,5.0249998876825
"46",69,6,5,239.8,0.4,0.4,22.41,0.4,0.4,0,0.2,293,54.4687294725537,1013.72892465005,2591.32320145959,1.19428498352043,7.26828062095425,200.165076862667,6.01288822682935,5.08163904428294,0,6.94499984476715
"47",69,6,5,239.8,0.4,0.4,22.41,0.4,0.4,0,0.2,293,54.4687294725537,1013.72892465005,2591.32320145959,1.19428498352043,7.26828062095425,200.165076862667,6.01288822682935,5.08163904428294,0,5.0249998876825
"48",69,11,1,313,1,0,13.38,1,0,0,0,298,48.1990130356189,1015.56841881006,2797.82260788922,2.08378119077821,7.44528923930274,210.743043389534,9.87883901272383,7.97266001369206,0,6.94499984476715
"49",69,11,1,313,1,0,13.38,1,0,0,0,298,48.1990130356189,1015.56841881006,2797.82260788922,2.08378119077821,7.44528923930274,210.743043389534,9.87883901272383,7.97266001369206,0,5.0249998876825
"50",70,5,3,261.666666666667,1,0,9.82,0.666666666666667,0,0,0.333333333333333,304,46.9929917003781,1015.6481171692,2528.41029382057,1.3485791932899,7.41799745283647,185.544805043506,6.43771212865135,5.41263583811673,0,5.1099998857826
"51",70,5,3,261.666666666667,1,0,9.82,0.666666666666667,0,0,0.333333333333333,304,46.9929917003781,1015.6481171692,2528.41029382057,1.3485791932899,7.41799745283647,185.544805043506,6.43771212865135,5.41263583811673,0,7.02499984297901
"52",70,6,1,1317,1,0,2,1,0,0,0,305,54.4687310468317,1013.72892435194,2591.32345292044,1.19428478708673,7.26828006264595,200.165084130779,6.01288850543431,5.0816392567121,0,5.1099998857826
"53",70,6,1,1317,1,0,2,1,0,0,0,305,54.4687310468317,1013.72892435194,2591.32345292044,1.19428478708673,7.26828006264595,200.165084130779,6.01288850543431,5.0816392567121,0,7.02499984297901
"54",70,10,2,264.5,0,0,8.37,1,0,0,0,309,56.3740697272553,1015.81590612407,2718.91945930109,1.89700097449646,7.52326474529767,196.6693363264,9.02108008923959,7.39558900785069,0,5.1099998857826
"55",70,10,2,264.5,0,0,8.37,1,0,0,0,309,56.3740697272553,1015.81590612407,2718.91945930109,1.89700097449646,7.52326474529767,196.6693363264,9.02108008923959,7.39558900785069,0,7.02499984297901
"56",70,11,3,276.666666666667,1,0,8.46,1,0,0,0,310,48.1990104926718,1015.56841947644,2797.82261807507,2.08378077692565,7.44528837816148,210.743047168366,9.87883917628371,7.97266013708291,0,5.1099998857826
"57",70,11,3,276.666666666667,1,0,8.46,1,0,0,0,310,48.1990104926718,1015.56841947644,2797.82261807507,2.08378077692565,7.44528837816148,210.743047168366,9.87883917628371,7.97266013708291,0,7.02499984297901
"58",71,6,1,261,1,0,3.89,1,0,0,0,317,54.4687326179168,1013.72892405443,2591.32370387127,1.19428459105144,7.26827950547002,200.165091384149,6.0128887834742,5.0816394687104,0,4.70499989483505
"59",71,6,1,261,1,0,3.89,1,0,0,0,317,54.4687326179168,1013.72892405443,2591.32370387127,1.19428459105144,7.26827950547002,200.165091384149,6.0128887834742,5.0816394687104,0,6.86499984655529
"60",71,7,3,271.666666666667,0.333333333333333,0,5.9,1,0,0,0,318,62.1274369029415,1014.30015949778,2367.93643147816,1.11733012464281,7.34918737787679,194.858521480501,5.46958739894217,4.61699390788601,0,4.70499989483505
