"OPERATION_ID","OPERATION_STATUS","CRUISE_ID","SITE_NAME","START_TIME","START_LAT","START_LON","END_TIME","END_LAT","END_LON","END_LONdec","START_LONdec","START_LATdec","END_LATdec","date","cruise_op"
6,"Representative","201880","7-24 APR","4/3/18 10:21","4214.278N","07036.995W","4/3/18 10:51","4213.418N","07035.505W",-70.59175,-70.61658333,42.23796667,42.22363333,"4/3/18","201880_6"
7,"Representative","201880","7-27 APR","4/3/18 11:24","4211.675N","07033.280W","4/3/18 11:54","4212.234N","07031.477W",-70.52461667,-70.55466667,42.19458333,42.2039,"4/3/18","201880_7"
8,"Representative","201880","8-21 APR","4/3/18 12:39","4214.598N","07026.202W","4/3/18 13:09","4214.162N","07024.371W",-70.40618333,-70.4367,42.2433,42.23603333,"4/3/18","201880_8"
9,"Representative","201880","8-19 APR","4/3/18 14:44","4212.155N","07012.756W","4/3/18 15:14","4212.834N","07014.476W",-70.24126667,-70.2126,42.20258333,42.2139,"4/3/18","201880_9"
10,"Representative","201880","8-17 APR","4/3/18 16:51","4222.648N","07021.046W","4/3/18 17:21","4224.135N","07021.431W",-70.35718333,-70.35076667,42.37746667,42.40225,"4/3/18","201880_10"
12,"Representative","201880","8-20 APR","4/5/18 12:01","4203.225N","07018.573W","4/5/18 12:35","4202.416N","07017.087W",-70.28478333,-70.30955,42.05375,42.04026667,"4/5/18","201880_12"
13,"Representative","201880","10-16 APR","4/5/18 13:33","4158.742N","07012.373W","4/5/18 14:03","4157.651N","07011.014W",-70.18356667,-70.20621667,41.97903333,41.96085,"4/5/18","201880_13"
14,"Representative","201880","10-14 APR","4/5/18 14:58","4153.323N","07011.532W","4/5/18 15:28","4151.922N","07011.541W",-70.19235,-70.1922,41.88871667,41.86536667,"4/5/18","201880_14"
15,"Representative","201880","10-15 APR","4/5/18 18:21","4155.811N","07028.994W","4/5/18 18:51","4157.021N","07028.111W",-70.46851667,-70.48323333,41.93018333,41.95035,"4/5/18","201880_15"
16,"Representative","201880","8-18 APR","4/5/18 20:12","4203.513N","07029.359W","4/5/18 20:42","4204.588N","07028.167W",-70.46945,-70.48931667,42.05855,42.07646667,"4/5/18","201880_16"
17,"Representative","201880","7-26 APR","4/5/18 21:28","4206.085N","07031.365W","4/5/18 21:58","4206.941N","07029.887W",-70.49811667,-70.52275,42.10141667,42.11568333,"4/5/18","201880_17"
19,"Representative","201880","2-98 APR ALT","4/9/18 18:41","4308.755N","07018.721W","4/9/18 19:01","4307.914N","07019.200W",-70.32,-70.31201667,43.14591667,43.1319,"4/9/18","201880_19"
20,"Representative","201880","2-50 APR","4/9/18 22:20","4323.788N","07014.568W","4/9/18 22:50","4325.081N","07014.249W",-70.23748333,-70.2428,43.39646667,43.41801667,"4/9/18","201880_20"
22,"Representative","201880","2-48 APR","4/10/18 10:41","4328.978N","07006.269W","4/10/18 11:01","4329.876N","07006.623W",-70.11038333,-70.10448333,43.48296667,43.49793333,"4/10/18","201880_22"
24,"Representative","201880","3-89 APR ALT","4/10/18 14:24","4328.536N","06944.146W","4/10/18 14:54","4328.091N","06942.506W",-69.70843333,-69.73576667,43.4756,43.46818333,"4/10/18","201880_24"
25,"Representative","201880","3-41 APR","4/10/18 15:42","4327.566N","06937.826W","4/10/18 16:11","4327.424N","06935.977W",-69.59961667,-69.63043333,43.45943333,43.45706667,"4/10/18","201880_25"
26,"Representative","201880","3-47 APR","4/10/18 17:16","4321.958N","06932.859W","4/10/18 17:46","4320.691N","06933.517W",-69.55861667,-69.54765,43.36596667,43.34485,"4/10/18","201880_26"
27,"Representative","201880","3-44 APR","4/10/18 18:36","4318.071N","06937.329W","4/10/18 19:06","4317.142N","06938.730W",-69.6455,-69.62215,43.30118333,43.2857,"4/10/18","201880_27"
28,"Representative","201880","3-39 APR","4/10/18 19:54","4318.383N","06943.647W","4/10/18 20:24","4319.712N","06943.965W",-69.73275,-69.72745,43.30638333,43.32853333,"4/10/18","201880_28"
29,"Representative","201880","3-95 APR ALT","4/10/18 21:16","4318.801N","06949.368W","4/10/18 21:46","4317.683N","06950.402W",-69.84003333,-69.8228,43.31335,43.29471667,"4/10/18","201880_29"
30,"Representative","201880","3-40 APR","4/10/18 22:30","4315.010N","06952.781W","4/10/18 23:00","4313.688N","06952.699W",-69.87831667,-69.87968333,43.25016667,43.22813333,"4/11/18","201880_30"
31,"Representative","201880","3-43 APR","4/11/18 10:06","4310.179N","06941.278W","4/11/18 10:36","4309.762N","06943.123W",-69.71871667,-69.68796667,43.16965,43.1627,"4/11/18","201880_31"
32,"Representative","201880","3-46 APR","4/11/18 11:42","4306.567N","06948.610W","4/11/18 12:12","4305.477N","06949.928W",-69.83213333,-69.81016667,43.10945,43.09128333,"4/11/18","201880_32"
33,"Representative","201880","11-53 APR ALT","4/11/18 13:17","4305.256N","06957.841W","4/11/18 13:47","4306.554N","06958.346W",-69.97243333,-69.96401667,43.0876,43.10923333,"4/11/18","201880_33"
34,"Representative","201880","11-5 APR","4/11/18 14:41","4309.371N","07000.622W","4/11/18 15:11","4310.700N","07001.131W",-70.01885,-70.01036667,43.15618333,43.17833333,"4/11/18","201880_34"
35,"Representative","201880","11-6 APR","4/11/18 15:51","4309.736N","07005.688W","4/11/18 16:21","4309.078N","07007.473W",-70.12455,-70.0948,43.16226667,43.1513,"4/18/18","201880_35"
37,"Representative","201880","7-25 APR","4/18/18 10:48","4223.880N","07049.288W","4/18/18 11:18","4222.647N","07048.194W",-70.80323333,-70.82146667,42.398,42.37745,"4/18/18","201880_37"
