left,top,right,bottom,grid_id
-70.85607,43.73115,-70.74060,43.63115,1
-70.85607,43.63115,-70.74060,43.53115,2
-70.85607,43.53115,-70.74060,43.43115,3
-70.85607,43.43115,-70.74060,43.33115,4
-70.85607,43.33115,-70.74060,43.23115,5
-70.85607,43.23115,-70.74060,43.13115,6
-70.85607,43.13115,-70.74060,43.03115,7
-70.85607,43.03115,-70.74060,42.93115,8
-70.85607,42.93115,-70.74060,42.83115,9
-70.85607,42.83115,-70.74060,42.73115,10
-70.85607,42.73115,-70.74060,42.63115,11
-70.85607,42.63115,-70.74060,42.53115,12
-70.85607,42.53115,-70.74060,42.43115,13
-70.85607,42.43115,-70.74060,42.33115,14
-70.85607,42.33115,-70.74060,42.23115,15
-70.85607,42.23115,-70.74060,42.13115,16
-70.85607,42.13115,-70.74060,42.03115,17
-70.85607,42.03115,-70.74060,41.93115,18
-70.85607,41.93115,-70.74060,41.83115,19
-70.85607,41.83115,-70.74060,41.73115,20
-70.76946,43.68115,-70.65399,43.58115,21
-70.76946,43.58115,-70.65399,43.48115,22
-70.76946,43.48115,-70.65399,43.38115,23
-70.76946,43.38115,-70.65399,43.28115,24
-70.76946,43.28115,-70.65399,43.18115,25
-70.76946,43.18115,-70.65399,43.08115,26
-70.76946,43.08115,-70.65399,42.98115,27
-70.76946,42.98115,-70.65399,42.88115,28
-70.76946,42.88115,-70.65399,42.78115,29
-70.76946,42.78115,-70.65399,42.68115,30
-70.76946,42.68115,-70.65399,42.58115,31
-70.76946,42.58115,-70.65399,42.48115,32
-70.76946,42.48115,-70.65399,42.38115,33
-70.76946,42.38115,-70.65399,42.28115,34
-70.76946,42.28115,-70.65399,42.18115,35
-70.76946,42.18115,-70.65399,42.08115,36
-70.76946,42.08115,-70.65399,41.98115,37
-70.76946,41.98115,-70.65399,41.88115,38
-70.76946,41.88115,-70.65399,41.78115,39
-70.76946,41.78115,-70.65399,41.68115,40
-70.68286,43.73115,-70.56739,43.63115,41
-70.68286,43.63115,-70.56739,43.53115,42
-70.68286,43.53115,-70.56739,43.43115,43
-70.68286,43.43115,-70.56739,43.33115,44
-70.68286,43.33115,-70.56739,43.23115,45
-70.68286,43.23115,-70.56739,43.13115,46
-70.68286,43.13115,-70.56739,43.03115,47
-70.68286,43.03115,-70.56739,42.93115,48
-70.68286,42.93115,-70.56739,42.83115,49
-70.68286,42.83115,-70.56739,42.73115,50
-70.68286,42.73115,-70.56739,42.63115,51
