"","left","top","right","bottom","grid_id","xcoord","ycoord","temp"
"1",-70.86,42.5,-70.74,42.4,13,-70.79833,42.48115,6.23499986063689
"2",-70.86,42.5,-70.74,42.4,13,-70.79833,42.48115,4.77499989327043
"3",-70.86,42.4,-70.74,42.3,14,-70.79833,42.38115,5.12999988533556
"4",-70.86,42.4,-70.74,42.3,14,-70.79833,42.38115,4.65999989584088
"5",-70.86,42.3,-70.74,42.2,15,-70.79833,42.28115,4.20999990589917
"6",-70.86,42.3,-70.74,42.2,15,-70.79833,42.28115,4.01499991025776
"7",-70.77,43,-70.65,42.9,28,-70.71173,42.93115,NA
"8",-70.77,42.9,-70.65,42.8,29,-70.71173,42.83115,NA
"9",-70.77,42.8,-70.65,42.7,30,-70.71173,42.73115,NA
"10",-70.77,42.6,-70.65,42.5,32,-70.71173,42.53115,NA
"11",-70.77,42.5,-70.65,42.4,33,-70.71173,42.43115,NA
"12",-70.77,42.4,-70.65,42.3,34,-70.71173,42.33115,NA
"13",-70.77,42.3,-70.65,42.2,35,-70.71173,42.23115,NA
"14",-70.68,43.1,-70.57,43,47,-70.62513,43.08115,NA
"15",-70.68,43.1,-70.57,43,47,-70.62513,43.08115,NA
"16",-70.68,43,-70.57,42.9,48,-70.62513,42.98115,6.39499985706061
"17",-70.68,43,-70.57,42.9,48,-70.62513,42.98115,4.18499990645796
"18",-70.68,42.9,-70.57,42.8,49,-70.62513,42.88115,6.7199998497963
"19",-70.68,42.9,-70.57,42.8,49,-70.62513,42.88115,4.54999989829957
"20",-70.68,42.8,-70.57,42.7,50,-70.62513,42.78115,6.61499985214323
"21",-70.68,42.8,-70.57,42.7,50,-70.62513,42.78115,4.35999990254641
"22",-70.68,42.6,-70.57,42.5,52,-70.62513,42.58115,NA
"23",-70.68,42.6,-70.57,42.5,52,-70.62513,42.58115,5.63499987404794
"24",-70.68,42.5,-70.57,42.4,53,-70.62513,42.48115,6.85999984666705
"25",-70.68,42.5,-70.57,42.4,53,-70.62513,42.48115,5.09499988611788
"26",-70.68,42.4,-70.57,42.3,54,-70.62513,42.38115,6.63499985169619
"27",-70.68,42.4,-70.57,42.3,54,-70.62513,42.38115,5.12999988533556
"28",-70.68,42.3,-70.57,42.2,55,-70.62513,42.28115,6.15999986231327
"29",-70.68,42.3,-70.57,42.2,55,-70.62513,42.28115,4.92999988980591
"30",-70.68,42.2,-70.57,42.1,56,-70.62513,42.18115,4.75999989360571
"31",-70.68,42.2,-70.57,42.1,56,-70.62513,42.18115,4.16999990679324
"32",-70.68,42.1,-70.57,42,57,-70.62513,42.08115,4.61499989684671
"33",-70.68,42.1,-70.57,42,57,-70.62513,42.08115,3.90499991271645
"34",-70.6,43.3,-70.48,43.2,65,-70.53852,43.23115,5.04499988723546
"35",-70.6,43.3,-70.48,43.2,65,-70.53852,43.23115,4.26999990455806
"36",-70.6,43.2,-70.48,43.1,66,-70.53852,43.13115,5.16999988444149
"37",-70.6,43.2,-70.48,43.1,66,-70.53852,43.13115,4.36499990243465
"38",-70.6,43.1,-70.48,43,67,-70.53852,43.03115,5.15499988477677
"39",-70.6,43.1,-70.48,43,67,-70.53852,43.03115,3.9349999120459
"40",-70.6,43,-70.48,42.9,68,-70.53852,42.93115,6.49499985482544
"41",-70.6,43,-70.48,42.9,68,-70.53852,42.93115,4.47499989997596
"42",-70.6,42.9,-70.48,42.8,69,-70.53852,42.83115,6.94499984476715
"43",-70.6,42.9,-70.48,42.8,69,-70.53852,42.83115,5.0249998876825
"44",-70.6,42.8,-70.48,42.7,70,-70.53852,42.73115,7.02499984297901
"45",-70.6,42.8,-70.48,42.7,70,-70.53852,42.73115,5.1099998857826
"46",-70.6,42.7,-70.48,42.6,71,-70.53852,42.63115,6.86499984655529
"47",-70.6,42.7,-70.48,42.6,71,-70.53852,42.63115,4.70499989483505
"48",-70.6,42.6,-70.48,42.5,72,-70.53852,42.53115,6.35999985784292
"49",-70.6,42.6,-70.48,42.5,72,-70.53852,42.53115,4.4799998998642
"50",-70.6,42.5,-70.48,42.4,73,-70.53852,42.43115,6.82499984744936
"51",-70.6,42.5,-70.48,42.4,73,-70.53852,42.43115,5.15999988466501
"52",-70.6,42.4,-70.48,42.3,74,-70.53852,42.33115,6.78999984823167
"53",-70.6,42.4,-70.48,42.3,74,-70.53852,42.33115,5.17999988421798
"54",-70.6,42.3,-70.48,42.2,75,-70.53852,42.23115,6.34999985806644
"55",-70.6,42.3,-70.48,42.2,75,-70.53852,42.23115,5.14499988500029
"56",-70.6,42.2,-70.48,42.1,76,-70.53852,42.13115,5.70499987248331
"57",-70.6,42.2,-70.48,42.1,76,-70.53852,42.13115,4.62499989662319
"58",-70.6,42.1,-70.48,42,77,-70.53852,42.03115,4.77999989315867
"59",-70.6,42.1,-70.48,42,77,-70.53852,42.03115,4.06499990914017
"60",-70.6,42,-70.48,41.9,78,-70.53852,41.93115,4.15499990712851
"61",-70.6,42,-70.48,41.9,78,-70.53852,41.93115,4.01499991025776
"62",-70.51,43.3,-70.39,43.2,85,-70.45192,43.28115,NA
"63",-70.51,43.2,-70.39,43.1,86,-70.45192,43.18115,NA
"64",-70.51,43.1,-70.39,43,87,-70.45192,43.08115,NA
"65",-70.51,43,-70.39,42.9,88,-70.45192,42.98115,NA
"66",-70.51,42.9,-70.39,42.8,89,-70.45192,42.88115,NA
"67",-70.51,42.8,-70.39,42.7,90,-70.45192,42.78115,NA
"68",-70.51,42.7,-70.39,42.6,91,-70.45192,42.68115,NA
"69",-70.51,42.6,-70.39,42.5,92,-70.45192,42.58115,NA
"70",-70.51,42.5,-70.39,42.4,93,-70.45192,42.48115,NA
"71",-70.51,42.4,-70.39,42.3,94,-70.45192,42.38115,NA
"72",-70.51,42.3,-70.39,42.2,95,-70.45192,42.28115,NA
"73",-70.51,42.2,-70.39,42.1,96,-70.45192,42.18115,NA
"74",-70.51,42.1,-70.39,42,97,-70.45192,42.08115,NA
"75",-70.51,42,-70.39,41.9,98,-70.45192,41.98115,NA
"76",-70.51,41.9,-70.39,41.8,99,-70.45192,41.88115,NA
"77",-70.42,43.4,-70.31,43.3,104,-70.36532,43.33115,5.75499987136573
"78",-70.42,43.4,-70.31,43.3,104,-70.36532,43.33115,4.2749999044463
"79",-70.42,43.3,-70.31,43.2,105,-70.36532,43.23115,5.52499987650663
"80",-70.42,43.3,-70.31,43.2,105,-70.36532,43.23115,4.48499989975244
"81",-70.42,43.2,-70.31,43.1,106,-70.36532,43.13115,5.78499987069517
"82",-70.42,43.2,-70.31,43.1,106,-70.36532,43.13115,4.7949998928234
"83",-70.42,43.1,-70.31,43,107,-70.36532,43.03115,6.2849998595193
"84",-70.42,43.1,-70.31,43,107,-70.36532,43.03115,4.96999988891184
"85",-70.42,43,-70.31,42.9,108,-70.36532,42.93115,7.35499983560294
"86",-70.42,43,-70.31,42.9,108,-70.36532,42.93115,5.47999987751245
"87",-70.42,42.9,-70.31,42.8,109,-70.36532,42.83115,7.40499983448535
"88",-70.42,42.9,-70.31,42.8,109,-70.36532,42.83115,5.53999987617135
"89",-70.42,42.8,-70.31,42.7,110,-70.36532,42.73115,7.55499983113259
"90",-70.42,42.8,-70.31,42.7,110,-70.36532,42.73115,5.56499987561256
"91",-70.42,42.7,-70.31,42.6,111,-70.36532,42.63115,7.09999984130263
"92",-70.42,42.7,-70.31,42.6,111,-70.36532,42.63115,5.46499987784773
"93",-70.42,42.6,-70.31,42.5,112,-70.36532,42.53115,7.10499984119087
"94",-70.42,42.6,-70.31,42.5,112,-70.36532,42.53115,5.29999988153577
"95",-70.42,42.5,-70.31,42.4,113,-70.36532,42.43115,6.86499984655529
"96",-70.42,42.5,-70.31,42.4,113,-70.36532,42.43115,5.1949998838827
"97",-70.42,42.4,-70.31,42.3,114,-70.36532,42.33115,6.69499985035509
"98",-70.42,42.4,-70.31,42.3,114,-70.36532,42.33115,5.21499988343567
"99",-70.42,42.3,-70.31,42.2,115,-70.36532,42.23115,6.50999985449016
"100",-70.42,42.3,-70.31,42.2,115,-70.36532,42.23115,5.1099998857826
"101",-70.42,42.2,-70.31,42.1,116,-70.36532,42.13115,6.09999986365438
"102",-70.42,42.2,-70.31,42.1,116,-70.36532,42.13115,4.66499989572912
"103",-70.42,42.1,-70.31,42,117,-70.36532,42.03115,5.84999986924231
"104",-70.42,42.1,-70.31,42,117,-70.36532,42.03115,4.59499989729375
"105",-70.42,42,-70.31,41.9,118,-70.36532,41.93115,5.07499988656491
"106",-70.42,42,-70.31,41.9,118,-70.36532,41.93115,4.49499989952892
"107",-70.42,41.9,-70.31,41.8,119,-70.36532,41.83115,4.66499989572912
"108",-70.42,41.9,-70.31,41.8,119,-70.36532,41.83115,3.87999991327524
"109",-70.34,43.5,-70.22,43.4,123,-70.27872,43.48115,5.77499987091869
"110",-70.34,43.5,-70.22,43.4,123,-70.27872,43.48115,4.05499990936369
"111",-70.34,43.4,-70.22,43.3,124,-70.27872,43.38115,5.95999986678362
"112",-70.34,43.4,-70.22,43.3,124,-70.27872,43.38115,4.34499990288168
"113",-70.34,43.3,-70.22,43.2,125,-70.27872,43.28115,6.19499986153096
"114",-70.34,43.3,-70.22,43.2,125,-70.27872,43.28115,4.84499989170581
"115",-70.34,43.2,-70.22,43.1,126,-70.27872,43.18115,6.44499985594302
"116",-70.34,43.2,-70.22,43.1,126,-70.27872,43.18115,5.22499988321215
"117",-70.34,43.1,-70.22,43,127,-70.27872,43.08115,6.86999984644353
"118",-70.34,43.1,-70.22,43,127,-70.27872,43.08115,5.46999987773597
"119",-70.34,43,-70.22,42.9,128,-70.27872,42.98115,7.57499983068556
"120",-70.34,43,-70.22,42.9,128,-70.27872,42.98115,5.6549998736009
"121",-70.34,42.9,-70.22,42.8,129,-70.27872,42.88115,7.59999983012676
"122",-70.34,42.9,-70.22,42.8,129,-70.27872,42.88115,5.65999987348914
"123",-70.34,42.8,-70.22,42.7,130,-70.27872,42.78115,7.62499982956797
"124",-70.34,42.8,-70.22,42.7,130,-70.27872,42.78115,5.56499987561256
"125",-70.34,42.7,-70.22,42.6,131,-70.27872,42.68115,7.2049998389557
"126",-70.34,42.7,-70.22,42.6,131,-70.27872,42.68115,5.51499987673014
"127",-70.34,42.6,-70.22,42.5,132,-70.27872,42.58115,7.47499983292073
"128",-70.34,42.6,-70.22,42.5,132,-70.27872,42.58115,5.739999871701
"129",-70.34,42.5,-70.22,42.4,133,-70.27872,42.48115,7.2899998370558
"130",-70.34,42.5,-70.22,42.4,133,-70.27872,42.48115,5.49999987706542
"131",-70.34,42.4,-70.22,42.3,134,-70.27872,42.38115,6.93499984499067
"132",-70.34,42.4,-70.22,42.3,134,-70.27872,42.38115,5.20999988354743
"133",-70.34,42.3,-70.22,42.2,135,-70.27872,42.28115,6.62999985180795
"134",-70.34,42.3,-70.22,42.2,135,-70.27872,42.28115,5.01999988779426
"135",-70.34,42.2,-70.22,42.1,136,-70.27872,42.18115,6.17999986186624
"136",-70.34,42.2,-70.22,42.1,136,-70.27872,42.18115,4.54499989841133
"137",-70.34,42.1,-70.22,42,137,-70.27872,42.08115,5.79499987047166
"138",-70.34,42.1,-70.22,42,137,-70.27872,42.08115,4.21999990567565
"139",-70.34,42,-70.22,41.9,138,-70.27872,41.98115,5.10499988589436
"140",-70.34,42,-70.22,41.9,138,-70.27872,41.98115,4.4199999012053
"141",-70.34,41.9,-70.22,41.8,139,-70.27872,41.88115,4.80499989259988
"142",-70.34,41.9,-70.22,41.8,139,-70.27872,41.88115,4.05499990936369
"143",-70.34,41.8,-70.22,41.7,140,-70.27872,41.78115,4.67499989550561
"144",-70.34,41.8,-70.22,41.7,140,-70.27872,41.78115,3.7049999171868
"145",-70.25,43.6,-70.13,43.5,142,-70.19211,43.53115,NA
"146",-70.25,43.5,-70.13,43.4,143,-70.19211,43.43115,NA
"147",-70.25,43.4,-70.13,43.3,144,-70.19211,43.33115,NA
"148",-70.25,43.3,-70.13,43.2,145,-70.19211,43.23115,NA
"149",-70.25,43.2,-70.13,43.1,146,-70.19211,43.13115,NA
"150",-70.25,43.1,-70.13,43,147,-70.19211,43.03115,NA
"151",-70.25,43,-70.13,42.9,148,-70.19211,42.93115,NA
"152",-70.25,42.9,-70.13,42.8,149,-70.19211,42.83115,NA
"153",-70.25,42.8,-70.13,42.7,150,-70.19211,42.73115,NA
"154",-70.25,42.7,-70.13,42.6,151,-70.19211,42.63115,NA
"155",-70.25,42.6,-70.13,42.5,152,-70.19211,42.53115,NA
"156",-70.25,42.5,-70.13,42.4,153,-70.19211,42.43115,NA
"157",-70.25,42.4,-70.13,42.3,154,-70.19211,42.33115,NA
"158",-70.25,42.3,-70.13,42.2,155,-70.19211,42.23115,NA
"159",-70.25,42.2,-70.13,42.1,156,-70.19211,42.13115,NA
"160",-70.25,42,-70.13,41.9,158,-70.19211,41.93115,NA
"161",-70.25,41.9,-70.13,41.8,159,-70.19211,41.83115,NA
"162",-70.16,43.6,-70.05,43.5,162,-70.10551,43.58115,4.78999989293516
"163",-70.16,43.6,-70.05,43.5,162,-70.10551,43.58115,3.85499991383404
"164",-70.16,43.5,-70.05,43.4,163,-70.10551,43.48115,6.63499985169619
"165",-70.16,43.5,-70.05,43.4,163,-70.10551,43.48115,4.67999989539385
"166",-70.16,43.4,-70.05,43.3,164,-70.10551,43.38115,7.09999984130263
"167",-70.16,43.4,-70.05,43.3,164,-70.10551,43.38115,5.0499998871237
"168",-70.16,43.3,-70.05,43.2,165,-70.10551,43.28115,7.749999826774
"169",-70.16,43.3,-70.05,43.2,165,-70.10551,43.28115,5.32499988097697
"170",-70.16,43.2,-70.05,43.1,166,-70.10551,43.18115,7.82999982498586
"171",-70.16,43.2,-70.05,43.1,166,-70.10551,43.18115,5.68999987281859
"172",-70.16,43.1,-70.05,43,167,-70.10551,43.08115,7.91999982297421
