"","grid_id","GRAVEL","SAND","CLAY","MUD","SILT","ROCK","SEDIMENT","BEDROCK","count","sediement_NA_flag"
"1",6,1,13,2,11,4,0,0,0,31,0
"2",7,15,40,2,11,14,0,6,0,88,0
"3",8,0,6,0,0,0,0,0,0,6,0
"4",9,3,75,0,4,0,1,3,0,86,0
"5",10,12,88,0,5,0,0,8,0,113,0
"6",11,0,15,0,3,0,0,0,0,18,0
"7",12,2,21,0,49,0,18,3,0,93,0
"8",13,31,38,1,20,0,75,12,0,177,0
"9",14,20,141,116,3,236,3,34,1,554,0
"10",15,7,39,2,2,0,4,2,1,57,0
"11",26,30,49,2,46,2,0,13,0,142,0
"12",27,53,123,0,69,6,0,1,0,252,0
"13",28,20,29,0,0,1,1,0,1,52,0
"14",29,2,76,0,0,23,0,4,0,105,0
"15",30,1,69,0,1,0,1,0,0,72,0
"16",31,0,24,0,0,0,2,0,0,26,0
"17",32,4,24,0,1,0,13,3,0,45,0
"18",33,7,12,3,2,1,7,11,0,43,0
"19",34,5,4,0,1,1,13,2,2,28,0
"20",35,10,7,0,4,0,2,0,0,23,0
"21",36,3,27,1,21,0,4,2,0,58,0
"22",37,0,41,0,2,13,0,0,0,56,0
"23",38,0,1,0,0,0,0,0,0,1,0
"24",40,2,27,0,15,2,0,6,0,52,0
"25",44,1,0,2,1,0,0,1,0,5,0
"26",46,1,12,0,3,0,0,0,0,16,0
"27",47,11,23,0,2,0,0,0,0,36,0
"28",48,14,153,2,0,0,0,5,0,174,0
"29",49,3,9,3,3,1,0,2,0,21,0
"30",50,0,16,1,3,3,0,0,0,23,0
"31",51,0,4,0,0,0,0,0,0,4,0
"32",52,2,4,0,0,0,4,0,0,10,0
"33",53,0,12,3,1,17,2,2,0,37,0
"34",54,1,2,23,6,45,0,3,0,80,0
"35",55,9,18,3,3,0,2,4,0,39,0
"36",56,18,9,0,0,0,12,2,1,42,0
"37",57,30,51,0,4,4,5,5,0,99,0
"38",58,15,271,0,10,15,0,5,0,316,0
"39",60,0,7,0,4,1,1,2,0,15,0
"40",64,2,28,0,4,0,0,1,0,35,0
"41",65,11,44,0,7,0,0,1,0,63,0
"42",66,12,10,1,3,1,0,0,0,27,0
"43",67,4,8,0,2,0,0,0,0,14,0
"44",68,4,1,2,8,1,0,0,0,16,0
"45",69,0,0,3,2,4,0,0,0,9,0
"46",70,1,4,2,3,5,0,7,0,22,0
"47",71,1,1,1,1,1,0,3,0,8,0
"48",72,3,1,7,0,2,0,11,0,24,0
"49",73,5,6,9,2,35,0,8,0,65,0
"50",74,0,3,9,8,12,0,4,0,36,0
"51",75,6,4,0,4,0,1,10,0,25,0
"52",76,14,13,0,0,0,2,6,0,35,0
"53",77,2,24,1,1,0,0,0,0,28,0
"54",78,4,19,0,0,0,0,0,0,23,0
"55",79,3,22,0,0,0,0,0,0,25,0
"56",83,0,8,0,5,0,0,0,0,13,0
"57",84,2,29,0,16,0,0,0,0,47,0
"58",85,7,16,0,0,0,2,0,2,27,0
"59",86,11,9,0,0,0,0,1,0,21,0
"60",87,5,10,4,8,0,0,0,0,27,0
"61",88,2,2,0,21,1,0,0,0,26,0
"62",89,4,2,3,7,0,0,0,0,16,0
"63",90,1,0,12,1,3,0,3,0,20,0
"64",91,8,31,7,4,32,0,11,0,93,0
"65",92,2,5,6,2,3,0,1,0,19,0
"66",93,1,3,6,1,6,0,2,0,19,0
"67",94,2,7,6,1,17,0,14,0,47,0
"68",95,1,1,8,5,45,0,2,0,62,0
"69",96,0,2,8,5,3,1,2,0,21,0
"70",97,3,14,2,7,3,0,2,0,31,0
"71",98,3,18,1,1,3,0,1,0,27,0
"72",99,1,25,3,0,1,0,1,0,31,0
"73",100,7,48,1,5,1,0,0,0,62,0
"74",102,1,59,1,3,9,0,3,0,76,0
"75",103,3,66,1,14,3,1,2,1,91,0
"76",104,4,5,0,0,0,2,0,2,13,0
"77",105,3,5,1,6,0,0,0,0,15,0
"78",106,4,12,1,6,0,0,0,0,23,0
"79",107,1,5,0,7,0,0,0,0,13,0
"80",108,3,2,0,20,1,0,0,0,26,0
"81",109,2,2,4,4,4,0,2,0,18,0
"82",110,2,5,5,1,0,0,2,0,15,0
"83",111,1,28,2,0,1,0,4,0,36,0
"84",112,0,2,12,2,15,0,5,0,36,0
"85",113,1,6,2,0,0,0,18,0,27,0
"86",114,1,13,9,3,35,0,7,0,68,0
"87",115,0,180,9,7,37,0,12,0,245,0
"88",116,1,57,13,6,19,0,0,0,96,0
"89",117,0,2,0,5,21,0,0,0,28,0
"90",118,0,10,42,2,22,0,0,0,76,0
"91",119,0,21,1,2,4,0,0,0,28,0
"92",120,2,77,1,38,0,0,0,0,118,0
"93",121,0,30,0,74,5,0,3,0,112,0
"94",122,2,25,0,0,0,0,0,0,27,0
"95",123,11,35,0,12,1,2,4,2,67,0
"96",124,10,2,2,6,0,0,0,0,20,0
"97",125,5,3,3,5,0,0,0,0,16,0
"98",126,2,1,7,4,1,0,0,0,15,0
"99",127,1,0,4,5,0,0,0,0,10,0
"100",128,1,1,2,12,0,0,0,0,16,0
"101",129,4,3,1,4,0,0,0,0,12,0
"102",130,4,2,0,0,1,0,3,0,10,0
"103",131,2,4,1,1,0,0,6,0,14,0
"104",132,2,3,6,0,3,0,6,0,20,0
"105",133,1,0,7,1,7,0,11,0,27,0
"106",134,10,3,0,1,0,0,18,0,32,0
"107",135,7,80,0,2,0,1,33,0,123,0
"108",136,4,167,0,0,0,0,24,0,195,0
"109",137,0,22,1,35,4,0,0,0,62,0
"110",138,0,3,11,5,77,0,1,0,97,0
"111",139,0,11,5,2,4,0,0,0,22,0
"112",140,0,198,3,65,0,0,0,0,266,0
"113",141,21,98,3,166,20,5,7,0,320,0
"114",142,9,7,0,2,0,1,0,1,20,0
"115",143,4,6,2,13,0,0,0,0,25,0
"116",144,2,1,3,9,0,1,0,1,17,0
"117",145,0,0,4,3,0,0,0,0,7,0
"118",146,2,0,2,5,1,0,0,0,10,0
"119",147,0,0,5,8,0,0,0,0,13,0
"120",148,0,0,4,6,0,0,0,0,10,0
"121",149,5,1,0,2,0,0,2,0,10,0
"122",150,5,2,1,0,0,0,5,0,13,0
"123",151,4,3,1,1,0,0,5,0,14,0
"124",152,5,4,3,0,1,0,17,0,30,0
"125",153,7,1,0,0,0,0,20,0,28,0
"126",154,7,2,0,0,0,1,24,0,34,0
"127",155,3,55,0,0,0,0,48,0,106,0
"128",156,0,83,2,22,1,0,6,0,114,0
"129",157,1,64,0,94,5,0,8,0,172,0
"130",158,0,7,2,26,16,0,0,0,51,0
"131",159,1,96,2,22,0,0,0,0,121,0
"132",160,3,175,0,1,0,0,0,0,179,0
"133",161,30,33,2,143,13,3,1,0,225,0
"134",162,14,2,0,6,0,3,1,0,26,0
"135",163,5,1,2,7,0,0,0,0,15,0
"136",164,1,2,4,5,0,0,0,0,12,0
"137",165,0,0,2,3,0,0,0,0,5,0
"138",166,0,0,3,1,0,0,0,0,4,0
"139",167,1,0,2,5,0,0,0,0,8,0
"140",168,2,1,4,4,0,0,0,0,11,0
"141",169,5,3,0,3,0,0,0,0,11,0
"142",170,0,6,6,5,1,0,5,0,23,0
"143",171,1,4,1,0,0,0,6,0,12,0
"144",172,3,4,1,1,0,1,15,0,25,0
"145",173,13,2,1,1,0,0,10,0,27,0
"146",174,3,3,0,0,0,0,22,0,28,0
"147",175,16,3,0,0,0,3,38,0,60,0
"148",176,4,7,0,0,0,0,14,0,25,0
"149",177,0,208,0,20,1,0,10,0,239,0
"150",178,11,159,0,100,5,0,0,0,275,0
"151",179,1,286,0,9,0,0,0,0,296,0
"152",180,0,153,0,10,0,0,0,0,163,0
"153",181,12,7,4,11,0,2,0,2,38,0
"154",182,6,2,2,13,0,0,0,0,23,0
"155",183,0,0,3,6,2,0,0,0,11,0
"156",184,0,0,4,6,1,0,0,0,11,0
"157",185,2,1,3,5,0,0,0,0,11,0
"158",186,5,2,0,0,0,0,0,0,7,0
"159",187,6,0,1,0,1,0,0,0,8,0
"160",188,3,4,1,1,0,0,0,0,9,0
"161",189,1,1,6,1,0,0,1,0,10,0
"162",190,0,5,5,0,1,0,4,0,15,0
"163",191,0,1,0,0,0,0,3,0,4,0
"164",192,0,2,0,0,0,0,7,0,9,0
"165",193,1,4,22,0,31,0,20,0,78,0
"166",194,0,2,1,1,1,0,21,0,26,0
"167",195,3,7,0,1,0,0,9,0,20,0
"168",196,0,6,0,0,0,0,4,0,10,0
"169",197,1,101,0,0,0,0,4,0,106,0
"170",198,1,170,0,65,0,0,0,0,236,0
"171",199,0,223,0,32,0,0,0,0,255,0
"172",200,0,16,0,13,0,0,0,0,29,0
"173",201,4,24,0,35,0,0,0,0,63,0
"174",202,5,4,0,14,0,0,0,0,23,0
"175",203,0,0,1,6,0,0,0,0,7,0
"176",204,0,0,0,2,1,0,0,0,3,0
"177",205,0,0,0,1,0,0,0,0,1,0
"178",206,0,0,1,1,0,0,0,0,2,0
"179",207,0,0,0,2,0,0,0,0,2,0
"180",208,0,0,1,0,0,0,0,0,1,0
"181",209,0,0,0,0,1,0,0,0,1,0
"182",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"183",213,0,0,0,1,1,0,0,0,2,0
"184",214,0,0,0,2,1,0,0,0,3,0
"185",215,0,0,1,0,0,0,1,0,2,0
"186",216,0,1,0,1,0,0,2,0,4,0
"187",217,1,2,0,1,0,0,4,0,8,0
"188",218,2,10,0,0,0,1,6,0,19,0
"189",219,1,10,0,0,0,0,2,0,13,0
"190",220,5,30,0,13,0,0,0,0,48,0
"191",221,5,18,0,18,0,0,0,0,41,0
"192",222,5,2,0,13,1,0,0,0,21,0
"193",223,0,0,0,6,0,0,0,0,6,0
"194",224,0,0,0,2,1,0,0,0,3,0
"195",225,0,0,0,1,1,0,0,0,2,0
"196",226,0,1,0,0,0,0,0,0,1,0
"197",228,0,0,1,0,0,0,0,0,1,0
"198",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"199",230,0,0,0,0,0,0,1,0,1,0
"200",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"201",232,0,0,1,0,0,0,0,0,1,0
"202",233,0,1,1,1,1,0,0,0,4,0
"203",234,0,0,0,0,1,0,0,0,1,0
"204",235,0,0,1,0,0,0,2,0,3,0
"205",236,1,1,0,0,0,1,2,0,5,0
"206",237,1,2,0,1,0,1,1,0,6,0
"207",238,5,6,0,0,0,0,1,0,12,0
"208",239,4,9,0,4,0,0,1,0,18,0
"209",240,0,13,0,0,0,0,2,0,15,0
"210",241,6,87,0,7,0,6,1,6,113,0
"211",242,1,0,1,10,0,0,0,0,12,0
"212",243,0,0,2,0,0,0,0,0,2,0
"213",244,0,0,1,0,0,0,0,0,1,0
"214",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"215",246,0,1,1,0,0,0,0,0,2,0
"216",248,1,1,0,0,0,0,0,0,2,0
"217",249,0,0,4,0,0,0,0,0,4,0
"218",250,0,0,0,2,1,0,0,0,3,0
"219",252,0,0,2,0,0,0,0,0,2,0
"220",253,0,0,1,0,0,0,0,0,1,0
"221",254,0,0,2,1,0,0,0,0,3,0
"222",256,1,1,0,1,0,0,1,0,4,0
"223",257,0,2,2,1,1,0,0,0,6,0
"224",258,0,3,3,5,0,0,2,0,13,0
"225",259,0,10,1,1,1,0,1,0,14,0
"226",260,0,4,1,4,0,0,0,0,9,0
"227",261,2,4,1,10,0,0,0,0,17,0
"228",262,0,0,2,5,0,0,0,0,7,0
"229",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"230",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"231",266,0,2,0,0,0,0,0,0,2,0
"232",269,0,0,7,1,0,0,0,0,8,0
"233",270,0,0,1,0,0,0,0,0,1,0
"234",271,0,0,0,1,0,0,0,0,1,0
"235",272,0,0,6,0,0,0,0,0,6,0
"236",273,0,0,0,1,0,0,0,0,1,0
"237",274,0,0,1,0,0,0,0,0,1,0
"238",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"239",276,0,0,0,2,0,0,0,0,2,0
"240",277,0,0,0,4,1,0,0,0,5,0
"241",278,0,3,2,3,0,0,1,0,9,0
"242",279,0,1,3,6,0,0,1,0,11,0
"243",280,3,4,4,6,0,0,1,0,18,0
