LATITUDE,LONGITUDE,LITHOLOGY,LITHO_GROUP
42.908778,-70.799447,SAND,SAND
42.909139,-70.791899,GRAVELLY SAND,SAND
42.908957,-70.784571,SAND,SAND
42.894315,-70.793509,GRAVELLY SAND,SAND
42.894328,-70.786274,MUDDY SAND,SAND
42.895366,-70.72421,SAND,SAND
42.879769,-70.806423,SAND,SAND
42.879868,-70.79899,MUDDY SAND,SAND
42.879969,-70.791447,SAND,SAND
42.88007,-70.783904,SAND,SAND
42.865949,-70.783517,SAND,SAND
42.866133,-70.775869,SAND,SAND
42.866505,-70.757072,SAND,SAND
42.85084,-70.807479,SAND,SAND
42.85103,-70.799612,MUDDY SAND,SAND
42.851131,-70.792069,MUDDY SAND,SAND
42.851232,-70.784527,MUDDY SAND,SAND
42.851414,-70.776987,SAND,SAND
42.851637,-70.7677,GRAVELLY SAND,SAND
42.851781,-70.758409,GRAVELLY SAND,SAND
42.836531,-70.804896,SAND,SAND
42.83656,-70.797022,SAND,SAND
42.836744,-70.789374,SAND,SAND
42.836846,-70.781831,SAND,SAND
42.836872,-70.774067,SAND,SAND
42.837098,-70.76467,GRAVELLY SAND,SAND
42.837244,-70.75527,GRAVELLY SAND,SAND
42.821987,-70.802085,SAND,SAND
42.822181,-70.793999,SAND,SAND
42.822208,-70.786235,SAND,SAND
42.822472,-70.77859,SAND,SAND
42.822418,-70.770822,GRAVELLY SAND,SAND
42.822642,-70.761534,GRAVELLY SAND,SAND
42.807429,-70.79982,SAND,SAND
42.807533,-70.792168,MUDDY SAND,SAND
42.807715,-70.784629,GRAVELLY SAND,SAND
42.807896,-70.777089,GRAVELLY SAND,SAND
42.808,-70.769438,GRAVELLY SAND,SAND
42.808066,-70.760034,GRAVELLY SAND,SAND
42.808295,-70.750528,SAND,SAND
42.82271,-70.752021,GRAVELLY SAND,SAND
42.793987,-70.797931,SAND,SAND
42.794016,-70.790057,MUDDY SAND,SAND
42.794197,-70.782517,SAND,SAND
42.794301,-70.774866,GRAVELLY SAND,SAND
42.794485,-70.767217,SAND,SAND
42.794623,-70.758145,GRAVELLY SAND,SAND
42.795285,-70.720657,SAND,SAND
42.795345,-70.711472,GRAVELLY SAND,SAND
42.795732,-70.702082,SAND,SAND
42.795637,-70.692672,SAND,SAND
42.779837,-70.794595,SAND,SAND
42.77979,-70.786687,MUDDY SAND,SAND
42.779973,-70.779112,SAND,SAND
42.780041,-70.77137,SAND,SAND
42.780219,-70.763955,GRAVELLY SAND,SAND
42.78033,-70.754441,SAND,SAND
42.780543,-70.745576,GRAVELLY SAND,SAND
42.765137,-70.790254,SAND,SAND
42.765315,-70.782839,SAND,SAND
42.765383,-70.775098,SAND,SAND
42.765447,-70.767517,GRAVELLY SAND,SAND
42.765507,-70.760097,SAND,SAND
42.765847,-70.750915,GRAVELLY SAND,SAND
42.765835,-70.741556,GRAVELLY SAND,SAND
42.750594,-70.784305,SAND,SAND
42.750772,-70.776891,SAND,SAND
42.750833,-70.769472,MUDDY SAND,SAND
42.750897,-70.761891,MUDDY SAND,SAND
42.751079,-70.754315,GRAVELLY SAND,SAND
42.75119,-70.7448,SAND,SAND
42.751415,-70.735452,SAND,SAND
42.736177,-70.77804,SAND,SAND
42.736123,-70.770454,SAND,SAND
42.736435,-70.7624,MUDDY SAND,SAND
42.736492,-70.755142,SAND,SAND
42.736433,-70.747717,SAND,SAND
42.736654,-70.73853,SAND,SAND
42.736765,-70.729015,GRAVELLY SAND,SAND
42.737118,-70.719548,MUDDY SAND,SAND
42.737342,-70.71023,SAND,SAND
42.737571,-70.700749,SAND,SAND
42.737675,-70.691426,SAND,SAND
42.737899,-70.682108,SAND,SAND
42.738003,-70.672785,SAND,SAND
42.738228,-70.663467,SAND,SAND
42.738336,-70.653981,SAND,SAND
42.721792,-70.762419,SAND,SAND
42.721977,-70.754736,SAND,SAND
42.722038,-70.747211,SAND,SAND
42.722099,-70.739686,MUDDY SAND,SAND
42.722211,-70.730036,SAND,SAND
42.72232,-70.72055,SAND,SAND
42.707137,-70.762445,SAND,SAND
42.707202,-70.754756,SAND,SAND
42.707267,-70.747068,SAND,SAND
42.707328,-70.739543,SAND,SAND
42.707509,-70.732024,MUDDY SAND,SAND
42.707377,-70.722527,SAND,SAND
42.707722,-70.713214,MUDDY SAND,SAND
42.692207,-70.773914,SAND,SAND
42.692272,-70.766225,SAND,SAND
42.692341,-70.758374,SAND,SAND
42.692518,-70.751017,SAND,SAND
42.692579,-70.743493,SAND,SAND
42.692687,-70.734006,SAND,SAND
42.692791,-70.724683,SAND,SAND
42.693,-70.706037,SAND,SAND
42.677999,-70.73043,SAND,SAND
42.677936,-70.723064,SAND,SAND
42.678113,-70.715708,SAND,SAND
42.678178,-70.70802,SAND,SAND
42.678231,-70.700822,SAND,SAND
42.678292,-70.693297,SAND,SAND
42.678465,-70.686104,MUDDY SAND,SAND
42.678522,-70.678743,SAND,SAND
42.678463,-70.671213,MUDDY SAND,SAND
42.678644,-70.663693,MUDDY SAND,SAND
43.75075277777778,-70.13717777777778,SANDY MUD,MUD
43.735866666666666,-70.14514444444445,SANDY MUD,MUD
43.707058333333336,-70.182725,HARD BOTTOM (NO SAMPLE RECOVERED),
43.63051388888889,-70.20684722222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.608675,-70.18165555555557,HARD BOTTOM (NO SAMPLE RECOVERED),
43.695575,-70.11361944444444,SANDY MUD,MUD
43.70726388888889,-70.10068888888888,MUDDY GRAVELLY SAND,SAND
43.726794444444444,-70.07783888888889,SANDY MUD,MUD
43.73674722222222,-70.06587222222223,SANDY GRAVEL,GRAVEL
43.74865277777778,-70.07420555555555,HARD BOTTOM (NO SAMPLE RECOVERED),
43.76542222222222,-70.0884,SANDY MUD,MUD
43.760872222222226,-70.10420555555555,SANDY MUD,MUD
43.72375277777778,-70.15355277777779,SANDY MUD,MUD
43.72545277777778,-70.17598611111111,MUD,MUD
43.70003888888889,-70.018225,HARD BOTTOM (NO SAMPLE RECOVERED),
43.67324166666666,-69.98922222222222,SANDY MUD,MUD
43.6605,-69.97698055555556,SANDY MUD,MUD
43.6303,-69.98301111111111,MUDDY SANDY GRAVEL,GRAVEL
43.59113055555556,-70.02912777777777,MUDDY SANDY GRAVEL,GRAVEL
43.55768333333333,-70.06673055555555,MUDDY SANDY GRAVEL,GRAVEL
43.54208611111111,-70.08595833333332,HARD BOTTOM (NO SAMPLE RECOVERED),
43.52724722222222,-70.10388055555555,SANDY MUD,MUD
43.502427777777775,-70.13225555555555,HARD BOTTOM (NO SAMPLE RECOVERED),
43.49021666666667,-70.14600277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.506677777777774,-70.16265555555556,HARD BOTTOM (NO SAMPLE RECOVERED),
43.52266111111111,-70.17888055555557,MUDDY SAND,SAND
43.539291666666664,-70.19561666666667,MUDDY SANDY GRAVEL,GRAVEL
43.55858055555555,-70.22568333333334,GRAVEL,GRAVEL
43.558788888888884,-70.22406944444445,SANDY GRAVEL,GRAVEL
43.56104444444444,-70.22917777777778,SAND,SAND
43.59198333333334,-70.17107222222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.60308055555556,-70.1592888888889,HARD BOTTOM (NO SAMPLE RECOVERED),
43.61273055555556,-70.14765000000001,SANDY MUD,MUD
43.62466388888889,-70.13413333333334,HARD BOTTOM (NO SAMPLE RECOVERED),
43.696013888888885,-69.93491111111112,MUDDY SAND,SAND
43.700322222222226,-69.93545277777778,SANDY MUD,MUD
43.70646388888889,-69.9269388888889,SAND,SAND
43.71863888888889,-69.91421111111111,SAND,SAND
43.728388888888894,-69.90284722222223,MUDDY SAND,SAND
43.726111111111116,-69.88706666666667,SANDY GRAVEL,GRAVEL
43.71105,-69.86972499999999,SAND,SAND
43.69785555555555,-69.85943333333333,HARD BOTTOM (NO SAMPLE RECOVERED),
43.68980555555555,-69.84788055555555,SAND,SAND
43.66685,-69.82239444444444,HARD BOTTOM (NO SAMPLE RECOVERED),
43.65020277777778,-69.80463055555555,GRAVELLY SAND,SAND
43.63299166666667,-69.78594444444444,HARD BOTTOM (NO SAMPLE RECOVERED),
43.6168,-69.76749166666667,MUD,MUD
43.60401111111111,-69.78270555555555,SANDY MUD,MUD
43.59255,-69.79744444444444,HARD BOTTOM (NO SAMPLE RECOVERED),
43.609175,-69.816225,MUDDY SANDY GRAVEL,GRAVEL
43.59798055555556,-69.83040833333332,MUD,MUD
43.585863888888895,-69.84488888888889,MUD,MUD
