,LATITUDE,LONGITUDE,LITHOLOGY,LITHO_GROUP,grid_id
0,42.908778000000005,-70.799447,SAND,SAND,9.0
1,42.909139,-70.791899,GRAVELLY SAND,SAND,9.0
2,42.908957,-70.784571,SAND,SAND,9.0
3,42.894315,-70.793509,GRAVELLY SAND,SAND,9.0
4,42.894328,-70.786274,MUDDY SAND,SAND,9.0
5,42.895365999999996,-70.72421,SAND,SAND,28.0
6,42.879769,-70.806423,SAND,SAND,9.0
7,42.879868,-70.79899,MUDDY SAND,SAND,9.0
8,42.879969,-70.79144699999999,SAND,SAND,9.0
9,42.88007,-70.783904,SAND,SAND,9.0
10,42.865949,-70.783517,SAND,SAND,9.0
11,42.866133000000005,-70.775869,SAND,SAND,9.0
12,42.866505,-70.757072,SAND,SAND,29.0
13,42.850840000000005,-70.807479,SAND,SAND,9.0
14,42.85103,-70.799612,MUDDY SAND,SAND,9.0
15,42.851131,-70.792069,MUDDY SAND,SAND,9.0
16,42.851232,-70.784527,MUDDY SAND,SAND,9.0
17,42.851414,-70.776987,SAND,SAND,9.0
18,42.851637,-70.7677,GRAVELLY SAND,SAND,29.0
19,42.851781,-70.758409,GRAVELLY SAND,SAND,29.0
20,42.836531,-70.804896,SAND,SAND,9.0
21,42.83656,-70.797022,SAND,SAND,9.0
22,42.836744,-70.789374,SAND,SAND,9.0
23,42.836846,-70.78183100000001,SAND,SAND,9.0
24,42.836872,-70.774067,SAND,SAND,9.0
25,42.837098,-70.76467,GRAVELLY SAND,SAND,29.0
26,42.837244,-70.75527,GRAVELLY SAND,SAND,29.0
27,42.821987,-70.80208499999999,SAND,SAND,10.0
28,42.822181,-70.793999,SAND,SAND,10.0
29,42.822208,-70.78623499999999,SAND,SAND,10.0
30,42.822472,-70.77859000000001,SAND,SAND,10.0
31,42.822418,-70.770822,GRAVELLY SAND,SAND,10.0
32,42.822642,-70.761534,GRAVELLY SAND,SAND,29.0
33,42.807429,-70.79982,SAND,SAND,10.0
34,42.807533,-70.792168,MUDDY SAND,SAND,10.0
35,42.807715,-70.78462900000001,GRAVELLY SAND,SAND,10.0
36,42.807896,-70.777089,GRAVELLY SAND,SAND,10.0
37,42.808,-70.769438,GRAVELLY SAND,SAND,29.0
38,42.808066,-70.76003399999999,GRAVELLY SAND,SAND,29.0
39,42.808295,-70.750528,SAND,SAND,29.0
40,42.82271,-70.752021,GRAVELLY SAND,SAND,29.0
41,42.793987,-70.797931,SAND,SAND,10.0
42,42.794016,-70.79005699999999,MUDDY SAND,SAND,10.0
43,42.794197,-70.782517,SAND,SAND,10.0
44,42.794301000000004,-70.774866,GRAVELLY SAND,SAND,10.0
45,42.794484999999995,-70.767217,SAND,SAND,29.0
46,42.794623,-70.758145,GRAVELLY SAND,SAND,29.0
47,42.795285,-70.72065699999999,SAND,SAND,29.0
48,42.795345000000005,-70.711472,GRAVELLY SAND,SAND,29.0
49,42.795732,-70.70208199999999,SAND,SAND,29.0
50,42.795637,-70.692672,SAND,SAND,29.0
51,42.779837,-70.794595,SAND,SAND,10.0
52,42.779790000000006,-70.786687,MUDDY SAND,SAND,10.0
53,42.779973,-70.779112,SAND,SAND,10.0
54,42.780041,-70.77136999999999,SAND,SAND,10.0
55,42.780219,-70.76395500000001,GRAVELLY SAND,SAND,30.0
56,42.78033,-70.754441,SAND,SAND,30.0
57,42.780543,-70.745576,GRAVELLY SAND,SAND,30.0
58,42.765137,-70.790254,SAND,SAND,10.0
59,42.765315,-70.782839,SAND,SAND,10.0
